rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
489	替	9176	9176	534	96.8596	HSK4
490	师	9035	9035	669	96.8700	HSK1
491	期	8925	8925	770	96.8803	HSK1
492	差	8899	8899	635	96.8905	HSK1
493	厌	8841	8841	90	96.9007	HSK5
494	未	8797	8797	853	96.9108	HSK4
495	對	8749	8749	883	96.9209	
496	花	8692	8649	2350	96.9309	HSK1
497	战	8677	8677	917	96.9409	HSK4
498	坏	8650	8650	548	96.9509	HSK1
499	休	8635	8635	394	96.9608	HSK1
500	慢	8620	4962	373	96.9707	HSK1
501	钟	8514	8514	456	96.9805	HSK2
502	二	8489	8487	2084	96.9903	HSK1
503	代	8448	8446	1277	97.0000	HSK3
504	突	8402	8402	209	97.0097	HSK3
505	存	8260	8260	529	97.0192	HSK3
506	赢	8178	8178	207	97.0286	HSK3
507	飞	8092	8090	978	97.0380	HSK1
508	指	8075	8074	1049	97.0473	HSK3
509	论	7993	7993	381	97.0565	HSK2
510	妻	7967	7967	236	97.0656	HSK4
511	责	7950	7950	181	97.0748	HSK3
512	斯	7905	7845	9262	97.0839	HSK7-9
513	客	7863	7863	707	97.0930	HSK1
514	星	7834	7490	1325	97.1020	HSK1
515	努	7823	7823	314	97.1110	HSK2
516	即	7815	7815	319	97.1200	HSK4
517	水	7786	7786	2740	97.1289	HSK1
518	密	7757	7757	819	97.1379	HSK4
519	拍	7745	7737	529	97.1468	HSK3
520	苦	7692	7682	555	97.1556	HSK3
521	类	7677	7677	302	97.1645	HSK3
522	越	7646	5377	821	97.1733	HSK2
523	黑	7626	7625	1239	97.1821	HSK2
524	樣	7527	7527	715	97.1907	
525	演	7491	7491	961	97.1994	HSK3
526	尽	7471	7469	510	97.2080	HSK3
527	释	7461	7461	121	97.2166	HSK4
528	则	7457	7457	276	97.2251	HSK4
529	控	7451	7451	347	97.2337	HSK5
530	脸	7381	7381	498	97.2422	HSK2
531	量	7346	7346	712	97.2507	HSK2
532	婆	7327	7242	301	97.2591	HSK4
533	痛	7280	7275	527	97.2675	HSK3
534	醒	7242	6191	339	97.2758	HSK4
535	秘	7113	7112	238	97.2840	HSK4
536	考	7104	7104	741	97.2922	HSK1
537	概	7022	7022	58	97.3003	HSK3
538	弃	7018	7018	202	97.3084	HSK5
539	介	7013	7013	363	97.3164	HSK1
540	礼	7007	7007	422	97.3245	HSK2
541	卖	6914	6914	628	97.3325	HSK2
542	色	6913	6913	1260	97.3404	HSK2
543	务	6890	6890	448	97.3484	HSK2
544	糕	6817	6817	63	97.3562	HSK5
545	呆	6808	6807	268	97.3641	HSK5
546	器	6808	6808	1175	97.3719	HSK3
547	往	6764	6714	988	97.3797	HSK2
548	杯	6753	6753	465	97.3875	HSK1
549	碰	6707	6703	242	97.3952	HSK2
