rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
47	怎	326693	326693	270	64.7632	HSK1
48	过	323571	323571	3167	65.1683	HSK1
49	事	322223	322204	1623	65.5717	HSK1
50	和	321094	321094	1943	65.9738	HSK1
51	上	316906	316904	3189	66.3705	HSK1
52	把	311090	311090	335	66.7600	HSK3
53	给	309726	309726	847	67.1478	HSK1
54	做	291324	291311	773	67.5125	HSK1
55	让	290444	290444	259	67.8762	HSK2
56	现	285013	285013	498	68.2330	HSK1
57	真	278453	278451	1837	68.5817	HSK1
58	但	276882	276882	786	68.9283	HSK2
59	谢	270741	141699	522	69.2673	HSK1
60	只	270416	270416	786	69.6059	HSK2
61	时	257400	257378	2198	69.9281	HSK1
62	生	256068	256028	2405	70.2487	HSK1
63	起	241439	241439	1466	70.5510	HSK1
64	走	221823	221457	709	70.8287	HSK1
65	下	221302	221293	2697	71.1058	HSK1
66	如	215105	215105	1069	71.3751	HSK2
67	呢	214928	214928	27	71.6442	HSK1
68	些	213931	213931	804	71.9121	HSK1
69	点	213610	212384	2366	72.1795	HSK1
70	开	212474	212468	1965	72.4455	HSK1
71	跟	207409	207409	852	72.7052	HSK1
72	天	199061	198675	2020	72.9544	HSK1
73	后	197600	197600	1438	73.2018	HSK1
74	快	197575	197472	1175	73.4492	HSK1
75	别	187024	187018	1793	73.6834	HSK1
76	它	185041	185041	350	73.9150	HSK2
77	着	184288	184288	926	74.1458	HSK1
78	再	184201	184201	884	74.3764	HSK1
79	多	182024	181937	3875	74.6043	HSK1
80	果	179974	179974	529	74.8296	HSK1
81	回	178333	178332	1531	75.0529	HSK1
82	该	176875	176860	623	75.2744	HSK2
83	所	170889	170814	1072	75.4883	HSK2
84	然	169856	169852	520	75.7010	HSK2
85	被	167860	167860	369	75.9111	HSK3
86	自	167170	167139	1203	76.1204	HSK2
87	找	167087	167068	1164	76.3296	HSK1
88	听	165221	163738	577	76.5365	HSK1
89	子	164870	164870	3252	76.7429	HSK1
90	等	163651	133666	356	76.9478	HSK1
91	谁	161858	161858	75	77.1505	HSK1
92	家	157394	157392	2845	77.3475	HSK1
93	先	154745	154745	1368	77.5413	HSK1
94	已	154369	154369	603	77.7345	HSK2
95	当	153103	153102	1739	77.9262	HSK2
96	告	152059	152059	430	78.1166	HSK1
97	经	151988	151988	725	78.3069	HSK2
98	话	150898	150895	622	78.4958	HSK1
99	妈	150047	101695	517	78.6837	HSK1
100	大	146337	146282	5060	78.8669	HSK1
101	像	145708	145700	682	79.0493	HSK2
102	诉	144150	144150	147	79.2298	HSK1
103	己	143966	143966	290	79.4101	HSK2
104	出	142829	142826	2663	79.5889	HSK1
105	因	141872	141872	647	79.7665	HSK2
106	见	137976	137389	991	79.9393	HSK1
107	定	136420	136420	861	80.1101	HSK2
108	觉	136411	136411	227	80.2808	HSK1
109	哪	135501	135501	416	80.4505	HSK1
110	最	135435	135429	603	80.6201	HSK1
111	用	131062	131061	2013	80.7842	HSK1
112	死	129018	129016	1766	80.9457	HSK3
113	问	126250	124784	855	81.1038	HSK1
114	欢	124759	124759	237	81.2600	HSK1
115	从	123248	123248	1213	81.4143	HSK1
116	小	121436	121008	4192	81.5663	HSK1
117	意	117662	117662	783	81.7136	HSK2
118	叫	117074	117074	1666	81.8602	HSK1
119	喜	116655	116626	365	82.0063	HSK1
120	儿	111008	111008	1606	82.1452	HSK1
121	而	110121	110121	1376	82.2831	HSK2
122	请	109296	109296	755	82.4199	HSK1
123	西	106982	106973	2278	82.5539	HSK1
124	地	106769	106769	2372	82.6876	HSK1
125	才	105393	105393	848	82.8195	HSK2
126	东	105249	105238	1084	82.9513	HSK1
127	孩	104456	104456	120	83.0821	HSK1
128	又	104425	104425	117	83.2128	HSK2
129	打	103669	103665	1399	83.3426	HSK1
130	应	103628	103627	580	83.4724	HSK2
131	候	103557	103557	218	83.6020	HSK1
132	发	103521	103521	1624	83.7316	HSK2
133	需	103510	103508	220	83.8612	HSK3
134	前	102749	102749	1357	83.9899	HSK1
135	明	101978	101382	1238	84.1175	HSK1
136	爱	99330	99327	2133	84.2419	HSK1
